benchmark,type,lut,dsp,latency,registers,muxes,meet_timing,source
linear-algebra-3mm,hls,4658,72,3305,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-3mm,futil,9296,72,0,1712,1960,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-2mm,hls,3516,72,2686,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-2mm,futil,7540,84,0,1378,1550,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-syr2k,hls,962,12,2368,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-syr2k,futil,3537,27,0,499,536,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-syrk,hls,982,27,1191,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-syrk,futil,2248,27,0,411,488,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-atax,hls,961,12,531,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-atax,futil,1906,12,0,370,390,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gesummv,hls,1788,36,512,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gesummv,futil,3694,36,0,754,856,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gemm,hls,1950,48,1656,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gemm,futil,4235,60,0,764,925,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-doitgen,hls,1391,12,10107,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-doitgen,futil,7126,12,0,954,1247,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gemver,hls,3110,60,789,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gemver,futil,5032,72,0,1102,1088,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-mvt,hls,1353,24,421,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-mvt,futil,2528,24,0,504,631,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gramschmidt,hls,3355,36,3205,0,0,1,pldi_results/Nov18-5/unrolled-no-static
linear-algebra-gramschmidt,futil,6807,36,0,975,1230,1,pldi_results/Nov18-5/unrolled-no-static

