benchmark,latency
linear-algebra-2mm,16486
linear-algebra-3mm,17513
linear-algebra-atax,2161
linear-algebra-bicg,1203
linear-algebra-cholesky,2542
linear-algebra-durbin,922
linear-algebra-gemm,9213
linear-algebra-gemver,4083
linear-algebra-gesummv,2485
linear-algebra-gramschmidt,19721
linear-algebra-ludcmp,4345
linear-algebra-lu,3207
linear-algebra-mvt,1881
linear-algebra-symm,11505
linear-algebra-syr2k,17745
linear-algebra-syrk,11819
linear-algebra-trisolv,460
linear-algebra-trmm,5263
linear-algebra-doitgen,49039
